symbol,name
DHRUV.NS,Dhruv Consultancy Services Limited
DHUNINV.NS,Dhunseri Investments Limited
DIACABS.NS,Diamond Power Infrastructure Limited
DIAMINESQ.NS,Diamines & Chemicals Limited
DIAMONDYD.NS,Prataap Snacks Limited
DICIND.NS,DIC India Limited
DIFFNKG.NS,Diffusion Engineers Limited
DIGIDRIVE.NS,Digidrive Distributors Limited
DIGISPICE.NS,DiGiSPICE Technologies Limited
DIGITIDE.NS,Digitide Solutions Limited
DIGJAMLMTD.NS,Digjam Limited
DIL.NS,Debock Industries Limited
DISHTV.NS,Dish TV India Limited
DIVGIITTS.NS,Divgi Torqtransfer Systems Limited
DIVIDEND.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset BSE 500 Dividend Leaders 50 ETF
DIVISLAB.NS,Divi's Laboratories Limited
DIVOPPBEES.NS,[ETF] Nippon India ETF Nifty Dividend Opportunities 50
DIXON.NS,Dixon Technologies (India) Limited
DJML.NS,DJ Mediaprint & Logistics Limited
DLF.NS,DLF Limited
DLINKINDIA.NS,D-Link (India) Limited
DMART.NS,Avenue Supermarts Limited
DMCC.NS,DMCC SPECIALITY CHEMICALS LIMITED
DNAMEDIA.NS,Diligent Media Corporation Limited
DODLA.NS,Dodla Dairy Limited
DOLATALGO.NS,Dolat Algotech Limited
DOLLAR.NS,Dollar Industries Limited
DOLPHIN.NS,Dolphin Offshore Enterprises (India) Limited
DOMS.NS,DOMS Industries Limited
DONEAR.NS,Donear Industries Limited
DPABHUSHAN.NS,D. P. Abhushan Limited
DPSCLTD.NS,DPSC Limited
DPWIRES.NS,D P Wires Limited
DRCSYSTEMS.NS,DRC Systems India Limited
DREAMFOLKS.NS,Dreamfolks Services Limited
DREDGECORP.NS,Dredging Corporation of India Limited
DRREDDY.NS,Dr. Reddy's Laboratories Limited
DSSL.NS,Dynacons Systems & Solutions Limited
DTIL.NS,Dhunseri Tea & Industries Limited
DUCON.NS,Ducon Infratechnologies Limited
DVL.NS,Dhunseri Ventures Limited
DWARKESH.NS,Dwarikesh Sugar Industries Limited
DYCL.NS,Dynamic Cables Limited
DYNAMATECH.NS,Dynamatic Technologies Limited
DYNPRO.NS,Dynemic Products Limited
E2E.NS,E2E Networks Limited
EASEMYTRIP.NS,Easy Trip Planners Limited
EASTSILK.NS,Eastern Silk Industries Limited
EBANKNIFTY.NS,[ETF] Edelweiss Mutual Fund - Edelweiss Nifty Bank ETF
EBBETF0430.NS,[ETF] Edelweiss Mutual Fund - BHARAT Bond  ETF - April 2030
EBBETF0431.NS,[ETF] Edelweiss Mutual Fund - BHARAT Bond ETF - April 2031
EBBETF0433.NS,[ETF] Edelweiss Mutual Fund - BHARAT Bond ETF-April 2033
EBGNG.NS,GNG Electronics Limited
ECAPINSURE.NS,[ETF] Edelweiss Mutual Fund - Edelweiss BSE Capital Markets & Insurance ETF
ECLERX.NS,eClerx Services Limited
ECOSMOBLTY.NS,Ecos (India) Mobility & Hospitality Limited
EDELWEISS.NS,Edelweiss Financial Services Limited
EFCIL.NS,EFC (I) Limited
EGOLD.NS,[ETF] Edelweiss Mutual Fund -Edelweiss Gold ETF
EICHERMOT.NS,Eicher Motors Limited
EIDPARRY.NS,EID Parry India Limited
EIEL.NS,Enviro Infra Engineers Limited
EIFFL.NS,Euro India Fresh Foods Limited
EIHAHOTELS.NS,EIH Associated Hotels Limited
EIHOTEL.NS,EIH Limited
EIMCOELECO.NS,Eimco Elecon (India) Limited
EKC.NS,Everest Kanto Cylinder Limited
ELDEHSG.NS,Eldeco Housing And Industries Limited
ELECON.NS,Elecon Engineering Company Limited
ELECTCAST.NS,Electrosteel Castings Limited
ELECTHERM.NS,Electrotherm (India) Limited
ELGIEQUIP.NS,Elgi Equipments Limited
ELGIRUBCO.NS,Elgi Rubber Company Limited
ELIN.NS,Elin Electronics Limited
ELIQUID.NS,[ETF] Edelweiss Mutual Fund - Edelweiss Nifty 1D Rate Liquid ETF
ELLEN.NS,Ellenbarrie Industrial Gases Limited
ELM250.NS,[ETF] Edelweiss Mutual Fund - Edelweiss Nifty LargeMidcap 250 ETF
EMAMILTD.NS,Emami Limited
EMAMIPAP.NS,Emami Paper Mills Limited
EMAMIREAL.NS,Emami Realty Limited
EMBDL.NS,Embassy Developments Limited
EMCURE.NS,Emcure Pharmaceuticals Limited
EMIL.NS,Electronics Mart India Limited
EMKAY.NS,Emkay Global Financial Services Limited
EMMBI.NS,Emmbi Industries Limited
EMMVEE.NS,Emmvee Photovoltaic Power Limited
EMSLIMITED.NS,EMS Limited
EMUDHRA.NS,eMudhra Limited
EMULTIMQ.NS,[ETF] Edelweiss MF - Edelweiss Nifty500 Multicap Momentum Quality 50 ETF
ENDURANCE.NS,Endurance Technologies Limited
ENERGY.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset Nifty Energy ETF
ENERGYDEV.NS,Energy Development Company Limited
ENGINERSIN.NS,Engineers India Limited
ENIFTY.NS,[ETF] Edelweiss Mutual Fund - Edelweiss Nifty 50 ETF
ENIL.NS,Entertainment Network (India) Limited
ENRIN.NS,Siemens Energy India Limited
ENTERO.NS,Entero Healthcare Solutions Limited
EPACK.NS,EPACK Durable Limited
EPACKPEB.NS,EPack Prefab Technologies Limited
EPIGRAL.NS,Epigral Limited
EPL.NS,EPL Limited
EQUAL200.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset BSE 200 Equal Weight ETF
EQUAL50.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset Nifty50 Equal Weight ETF
EQUAL50ADD.NS,[ETF] DSP  Mutual Fund - DSP Nifty 50 Equal Weight ETF
EQUIPPP.NS,Equippp Social Impact Technologies Limited
EQUITASBNK.NS,Equitas Small Finance Bank Limited
ERIS.NS,Eris Lifesciences Limited
ESABINDIA.NS,Esab India Limited
ESAFSFB.NS,ESAF Small Finance Bank Limited
ESCORTS.NS,Escorts Kubota Limited
ESENSEX.NS,[ETF] Edelweiss Mutual Fund - Edelweiss BSE Sensex ETF
ESG.NS,[ETF] MIRAE ASSET MUTUAL FUND - Mirae Asset Nifty 100 ESG Sector Leaders ETF
ESILVER.NS,[ETF] Edelweiss Mutual Fund - Edelweiss Silver ETF
ESSARSHPNG.NS,Essar Shipping Limited
ESSENTIA.NS,Integra Essentia Limited
ESTER.NS,Ester Industries Limited
ETERNAL.NS,ETERNAL LIMITED
ETHOSLTD.NS,Ethos Limited
EUREKAFORB.NS,Eureka Forbes Limited
EUROBOND.NS,Euro Panel Products Limited
EUROPRATIK.NS,Euro Pratik Sales Limited
EUROTEXIND.NS,Eurotex Industries and Exports Limited
EVEREADY.NS,Eveready Industries India Limited
EVERESTIND.NS,Everest Industries Limited
EVIETF.NS,[ETF] ICICI Prudential MF-ICICI Prudential Nifty EV & New Age Automotive ETF
EVINDIA.NS,[ETF] Mirae Asset MF - Mirae Asset Nifty EV and New Age Automotive ETF
EXCEL.NS,Excel Realty N Infra Limited
EXCELINDUS.NS,Excel Industries Limited
EXCELSOFT.NS,Excelsoft Technologies Limited
EXICOM.NS,Exicom Tele-Systems Limited
EXIDEIND.NS,Exide Industries Limited
EXPLEOSOL.NS,Expleo Solutions Limited
EXXARO.NS,Exxaro Tiles Limited
FABTECH.NS,Fabtech Technologies Limited
FACT.NS,Fertilizers and Chemicals Travancore Limited
FAIRCHEMOR.NS,Fairchem Organics Limited
FAZE3Q.NS,Faze Three Limited
FCL.NS,Fineotex Chemical Limited
FCSSOFT.NS,FCS Software Solutions Limited
FDC.NS,FDC Limited
FEDERALBNK.NS,The Federal Bank  Limited
FEDFINA.NS,Fedbank Financial Services Limited
FEL.NS,Future Enterprises Limited
FELDVR.NS,Future Enterprises Limited
FIBERWEB.NS,Fiberweb (India) Limited
FIEMIND.NS,Fiem Industries Limited
FILATEX.NS,Filatex India Limited
FILATFASH.NS,Filatex Fashions Limited
FINCABLES.NS,Finolex Cables Limited
FINEORG.NS,Fine Organic Industries Limited
FINIETF.NS,[ETF] ICICI Prudential Mutual Fund - ICICI Pru Nifty Fin Ser Ex-Bank ETF
FINKURVE.NS,Finkurve Financial Services Limited
FINOPB.NS,Fino Payments Bank Limited
FINPIPE.NS,Finolex Industries Limited
FIRSTCRY.NS,Brainbees Solutions Limited
FISCHER.NS,Fischer Medical Ventures Limited
FIVESTAR.NS,Five-Star Business Finance Limited
FLAIR.NS,Flair Writing Industries Limited
FLEXIADD.NS,[ETF] DSP Mutual Fund - DSP Nifty500 Flexicap Quality 30 ETF
FLEXITUFF.NS,Flexituff Ventures International Limited
FLFL.NS,Future Lifestyle Fashions Limited
FLUOROCHEM.NS,Gujarat Fluorochemicals Limited
FMCGIETF.NS,[ETF] ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty FMCG ETF
FMGOETZE.NS,Federal-Mogul Goetze (India) Limited.
FMNL.NS,Future Market Networks Limited
FOCUS.NS,Focus Lighting and Fixtures Limited
FOODSIN.NS,Foods & Inns Limited
FORCEMOT.NS,FORCE MOTORS LTD
FORTIS.NS,Fortis Healthcare Limited
FOSECOIND.NS,Foseco India Limited
FSL.NS,Firstsource Solutions Limited
FUSION.NS,Fusion Finance Limited
GABRIEL.NS,Gabriel India Limited
GAEL.NS,Gujarat Ambuja Exports Limited
GAIL.NS,GAIL (India) Limited
GALAPREC.NS,Gala Precision Engineering Limited
GALAXYSURF.NS,Galaxy Surfactants Limited
GALLANTT.NS,Gallantt Ispat Limited
GANDHAR.NS,Gandhar Oil Refinery (India) Limited
GANDHITUBE.NS,Gandhi Special Tubes Limited
GANECOS.NS,Ganesha Ecosphere Limited
GANESHBE.NS,Ganesh Benzoplast Limited
GANESHCP.NS,Ganesh Consumer Products Limited
GANESHHOU.NS,GANESH HOUSING LIMITED
GANGAFORGE.NS,Ganga Forging Limited
GANGESSECU.NS,Ganges Securities Limited
GARFIBRES.NS,Garware Technical Fibres Limited
GARUDA.NS,Garuda Construction and Engineering Limited
GATECH.NS,GACM Technologies Limited
GATECHDVR.NS,GACM Technologies Limited
GATEWAY.NS,Gateway Distriparks Limited
GAYAHWS.NS,Gayatri Highways Limited
GCSL.NS,Gretex Corporate Services Limited
GEECEE.NS,GeeCee Ventures Limited
GEEKAYWIRE.NS,Geekay Wires Limited
GEMAROMA.NS,Gem Aromatics Limited
GENCON.NS,Generic Engineering Construction and Projects Limited
GENESYS.NS,Genesys International Corporation Limited
GENUSPAPER.NS,Genus Paper & Boards Limited
GENUSPOWER.NS,Genus Power Infrastructures Limited
GEOJITFSL.NS,Geojit Financial Services Limited
GESHIP.NS,The Great Eastern Shipping Company Limited
GFLLIMITED.NS,GFL Limited
GHCL.NS,GHCL Limited
GHCLTEXTIL.NS,GHCL Textiles Limited
GICHSGFIN.NS,GIC Housing Finance Limited
GICRE.NS,General Insurance Corporation of India
GILLANDERS.NS,Gillanders Arbuthnot & Company Limited
GILLETTE.NS,Gillette India Limited
GILT10BETA.NS,[ETF] UTI Mutual Fund - UTI Nifty 10 yr Benchmark G-Sec ETF
GILT5BETA.NS,[ETF] UTI Mutual Fund - UTI Nifty 5 yr Benchmark G-Sec ETF
GILT5YBEES.NS,[ETF] NIPPON INDIA ETF NIFTY 5 YR BENCHMARK GSEC
GINNIFILA.NS,Ginni Filaments Limited
GIPCL.NS,Gujarat Industries Power Company Limited
GKENERGY.NS,GK Energy Limited
GKSL.NS,Gujarat Kidney And Super Speciality Limited
GKWLIMITED.NS,GKW Limited
GLAND.NS,Gland Pharma Limited
GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK.NS,Glenmark Pharmaceuticals Limited
GLFL.NS,Gujarat Lease Financing Limited
GLOBAL.NS,Global Education Limited
GLOBALE.NS,Globale Tessile Limited
GLOBALVECT.NS,Global Vectra Helicorp Limited
GLOBE.NS,GLOBE ENTERPRISES (INDIA) LIMITED
GLOBECIVIL.NS,Globe Civil Projects Limited
GLOBUSSPR.NS,Globus Spirits Limited
GLOSTERLTD.NS,Gloster Limited
GLOTTIS.NS,Glottis Limited
GMBREW.NS,GM Breweries Limited
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited
GMMPFAUDLR.NS,GMM Pfaudler Limited
GMRAIRPORT.NS,GMR AIRPORTS LIMITED
GMRP&UI.NS,GMR Power and Urban Infra Limited
GNA.NS,GNA Axles Limited
GNFC.NS,Gujarat Narmada Valley Fertilizers and Chemicals Limited
GOACARBON.NS,Goa Carbon Limited
GOCLCORP.NS,GOCL Corporation Limited
GOCOLORS.NS,Go Fashion (India) Limited
GODAVARIB.NS,Godavari Biorefineries Limited
GODFRYPHLP.NS,Godfrey Phillips India Limited
GODIGIT.NS,Go Digit General Insurance Limited
GODREJAGRO.NS,Godrej Agrovet Limited
GODREJCP.NS,Godrej Consumer Products Limited
GODREJIND.NS,Godrej Industries Limited
GODREJPROP.NS,Godrej Properties Limited
GOKEX.NS,Gokaldas Exports Limited
GOKUL.NS,Gokul Refoils and Solvent Limited
GOKULAGRO.NS,Gokul Agro Resources Limited
GOLD1.NS,[ETF] Kotak Mutual Fund - Gold Exchange Traded Fund
GOLD360.NS,[ETF] 360 ONE Mutual Fund - 360 ONE Gold ETF
GOLDADD.NS,[ETF] DSP Mutual Fund - DSP Gold ETF
GOLDBEES.NS,[ETF] NIPPON INDIA ETF GOLD BEES
GOLDBETA.NS,[ETF] UTI Mutual Fund - UTI Gold Exchange Traded Fund
GOLDBND.NS,[ETF] Bandhan Mutual Fund - Bandhan Gold ETF
GOLDCASE.NS,[ETF] Zerodha Fund House - Zerodha Gold ETF
GOLDENTOBC.NS,Golden Tobacco Limited
GOLDETF.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset Gold ETF
GOLDIAM.NS,Goldiam International Limited
GOLDIETF.NS,[ETF] ICICI Prudential Gold ETF
GOLDTECH.NS,AION-TECH SOLUTIONS LIMITED
GOODLUCK.NS,Goodluck India Limited
GOPAL.NS,Gopal Snacks Limited
GOYALALUM.NS,Goyal Aluminiums Limited
GPIL.NS,Godawari Power And Ispat limited
GPPL.NS,Gujarat Pipavav Port Limited
GPTHEALTH.NS,GPT Healthcare Limited
GPTINFRA.NS,GPT Infraprojects Limited
GRANULES.NS,Granules India Limited
GRAPHITE.NS,Graphite India Limited
GRASIM.NS,Grasim Industries Limited
GRAVITA.NS,Gravita India Limited
GREAVESCOT.NS,Greaves Cotton Limited
GREENLAM.NS,Greenlam Industries Limited
GREENPANEL.NS,Greenpanel Industries Limited
GREENPLY.NS,Greenply Industries Limited
GREENPOWER.NS,Orient Green Power Company Limited
GRINDWELL.NS,Grindwell Norton Limited
GRINFRA.NS,G R Infraprojects Limited
GRMOVER.NS,GRM Overseas Limited
GROBTEA.NS,The Grob Tea Company Limited
GROWW.NS,Billionbrains Garage Ventures Limited
GROWWCAPM.NS,[ETF] Groww Mutual Fund - Groww Nifty Capital Markets ETF
GROWWCHEM.NS,[ETF] Groww Mutual Fund - Groww Nifty Chemicals ETF
GROWWDEFNC.NS,[ETF] Groww Mutual Fund - Groww Nifty India Defence ETF
GROWWEV.NS,[ETF] Groww Mutual Fund - Groww Nifty EV & New Age Automotive ETF
GROWWGOLD.NS,[ETF] Groww Mutual Fund - Groww Gold ETF
GROWWLIQID.NS,[ETF] Groww Mutual Fund - Groww Nifty 1D Rate Liquid ETF
GROWWLOVOL.NS,[ETF] Groww Mutual Fund - Groww Nifty 500 Low Volatility 50 ETF
GROWWMC150.NS,[ETF] Groww Mutual Fund - Groww Nifty Midcap 150 ETF
GROWWMETAL.NS,[ETF] Groww Mutual Fund - Groww Nifty Metal ETF
GROWWMOM50.NS,[ETF] Groww Mutual Fund - Groww Nifty 500 Momentum 50 ETF
GROWWN200.NS,[ETF] Groww Mutual Fund - Groww Nifty 200 ETF
GROWWNET.NS,[ETF] Groww Mutual Fund - Groww Nifty India Internet ETF
GROWWNIFTY.NS,[ETF] Groww Mutual Fund - Groww Nifty 50 ETF
GROWWNXT50.NS,[ETF] Groww Mutual Fund - Groww Nifty Next 50 ETF
GROWWPOWER.NS,[ETF] Groww Mutual Fund - Groww BSE Power ETF
GROWWRAIL.NS,[ETF] Groww Mutual Fund - Groww Nifty India Railways PSU ETF
GROWWRLTY.NS,[ETF] Groww Mutual Fund - Groww Nifty Realty ETF
GROWWSC250.NS,[ETF] Groww Mutual Fund - Groww Nifty Smallcap 250 ETF
GROWWSLVR.NS,[ETF] Groww Mutual Fund - Groww Silver ETF
GRPLTD.NS,GRP Limited
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited
GRWRHITECH.NS,Garware Hi-Tech Films Limited
GSEC10ABSL.NS,[ETF] AdityaBirlaSunLifeMF - Aditya Birla Sun Life CRISIL 10 Year Gilt ETF
GSEC10IETF.NS,[ETF] ICICI Pru Mutual Fund-ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF
GSEC10YEAR.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset Nifty 8-13 yr G-Sec ETF
GSEC5IETF.NS,[ETF] ICICI Prudential Nifty 5 Yr Benchmark G-SEC ETF
GSFC.NS,Gujarat State Fertilizers & Chemicals Limited
GSLSU.NS,Global Surfaces Limited
GSPL.NS,Gujarat State Petronet Limited
GSS.NS,GSS Infotech Limited
GTECJAINX.NS,G-TEC JAINX EDUCATION LIMITED
GTL.NS,GTL Limited
GTLINFRA.NS,GTL Infrastructure Limited
GTPL.NS,GTPL Hathway Limited
GUFICBIO.NS,Gufic Biosciences Limited
GUJALKALI.NS,Gujarat Alkalies and Chemicals Limited
GUJAPOLLO.NS,Gujarat Apollo Industries Limited
GUJGASLTD.NS,Gujarat Gas Limited
GUJRAFFIA.NS,Gujarat Raffia Industries Limited
GUJTHEM.NS,Gujarat Themis Biosyn Limited
GULFOILLUB.NS,Gulf Oil Lubricants India Limited
GULFPETRO.NS,GP Petroleums Limited
GULPOLY.NS,Gulshan Polyols Limited
GVKPIL.NS,GVK Power & Infrastructure Limited
GVPIL.NS,GE Power India Limited
GVPTECH.NS,GVP Infotech Limited
GVT&D.NS,GE Vernova T&D India Limited
HAL.NS,Hindustan Aeronautics Limited
HALDER.NS,Halder Venture Limited
HALEOSLABS.NS,HALEOS LABS LIMITED
HAPPSTMNDS.NS,Happiest Minds Technologies Limited
HAPPYFORGE.NS,Happy Forgings Limited
HARDWYN.NS,Hardwyn India Limited
HARIOMPIPE.NS,Hariom Pipe Industries Limited
HARRMALAYA.NS,Harrisons  Malayalam Limited
HARSHA.NS,Harsha Engineers International Limited
HATHWAY.NS,Hathway Cable & Datacom Limited
HATSUN.NS,Hatsun Agro Product Limited
HAVELLS.NS,Havells India Limited
HAVISHA.NS,Sri Havisha Hospitality and Infrastructure Limited
HBLENGINE.NS,HBL Engineering Limited
HBSL.NS,HB Stockholdings Limited
HCC.NS,Hindustan Construction Company Limited
HCG.NS,Healthcare Global Enterprises Limited
HCL-INSYS.NS,HCL Infosystems Limited
HCLTECH.NS,HCL Technologies Limited
HDBFS.NS,HDB Financial Services Limited
HDFCAMC.NS,HDFC Asset Management Company Limited
HDFCBANK.NS,HDFC Bank Limited
HDFCBSE500.NS,[ETF] HDFC Mutual Fund - HDFC S&P BSE 500 ETF
HDFCGOLD.NS,[ETF] HDFC Mutual Fund-HDFC Gold Exchange Traded Fund
HDFCGROWTH.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY Growth Sectors 15 ETF
HDFCLIFE.NS,HDFC Life Insurance Company Limited
HDFCLIQUID.NS,[ETF] HDFC Nifty 1D Rate Liquid ETF - Growth
HDFCLOWVOL.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY100 Low Volatility 30 ETF
HDFCMID150.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY Midcap 150 ETF
HDFCMOMENT.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY200 Momentum 30 ETF
HDFCNEXT50.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY NEXT 50 ETF
HDFCNIF100.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY 100 ETF
HDFCNIFBAN.NS,[ETF] HDFC NIFTY Bank ETF
HDFCNIFIT.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY IT ETF
HDFCNIFTY.NS,[ETF] HDFC NIFTY 50 ETF
HDFCPSUBK.NS,[ETF] HDFC Mutual Fund -HDFC NIFTY PSU BANK ETF
HDFCPVTBAN.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY Private Bank ETF
HDFCQUAL.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY100 Quality 30 ETF
HDFCSENSEX.NS,[ETF] HDFC S&P BSE SENSEX ETF
HDFCSILVER.NS,[ETF] HDFC Mutual Fund - HDFC Silver ETF
HDFCSML250.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY Smallcap 250 ETF
HDFCVALUE.NS,[ETF] HDFC Mutual Fund - HDFC NIFTY50 Value 20 ETF
HEADSUP.NS,Heads UP Ventures Limited
HEALTHADD.NS,[ETF] DSP Mutual Fund - DSP Nifty Healthcare ETF
HEALTHIETF.NS,[ETF] ICICI PRUDENTIAL MUTUAL FUND - ICICI Prudential Nifty Healthcare ETF
HEALTHY.NS,[ETF] Aditya Birla Sun Life MF-Aditya Birla Sun Life Nifty Healthcare ETF
HECPROJECT.NS,HEC Infra Projects Limited
HEG.NS,HEG Limited
HEIDELBERG.NS,HeidelbergCement India Limited
HEMIPROP.NS,Hemisphere Properties India Limited
HERANBA.NS,Heranba Industries Limited
HERITGFOOD.NS,Heritage Foods Limited
HEROMOTOCO.NS,Hero MotoCorp Limited
HESTERBIO.NS,Hester Biosciences Limited
HEXATRADEX.NS,Hexa Tradex Limited
HEXT.NS,Hexaware Technologies Limited
HFCL.NS,HFCL Limited
HGINFRA.NS,H.G. Infra Engineering Limited
HGM.NS,HandsOn Global Management (HGM) Limited
HGS.NS,Hinduja Global Solutions Limited
HIKAL.NS,Hikal Limited
HILINFRA.NS,Highway Infrastructure Limited
HILTON.NS,Hilton Metal Forging Limited
HIMATSEIDE.NS,Himatsingka Seide Limited
HINDALCO.NS,Hindalco Industries Limited
HINDCOMPOS.NS,Hindustan Composites Limited
HINDCON.NS,Hindcon Chemicals Limited
HINDCOPPER.NS,Hindustan Copper Limited
HINDOILEXP.NS,Hindustan Oil Exploration Company Limited
HINDPETRO.NS,Hindustan Petroleum Corporation Limited
HINDUNILVR.NS,Hindustan Unilever Limited
HINDWAREAP.NS,Hindware Home Innovation Limited
HINDZINC.NS,Hindustan Zinc Limited
HIRECT.NS,Hind Rectifiers Limited
HISARMETAL.NS,Hisar Metal Industries Limited
HITECH.NS,Hi-Tech Pipes Limited
HITECHCORP.NS,Hitech Corporation Limited
HITECHGEAR.NS,The Hi-Tech Gears Limited
HLEGLAS.NS,HLE Glascoat Limited
HLVLTD.NS,HLV LIMITED
HMAAGRO.NS,HMA Agro Industries Limited
HMT.NS,HMT Limited
HMVL.NS,Hindustan Media Ventures Limited
HNDFDS.NS,Hindustan Foods Limited
HNGSNGBEES.NS,[ETF] NIPPON INDIA ETF HANG SENG BEES
HOMEFIRST.NS,Home First Finance Company India Limited
HONASA.NS,Honasa Consumer Limited
HONAUT.NS,Honeywell Automation India Limited
HONDAPOWER.NS,Honda India Power Products Limited
HPAL.NS,HP Adhesives Limited
HPIL.NS,Hindprakash Industries Limited
HPL.NS,HPL Electric & Power Limited
HSCL.NS,Himadri Speciality Chemical Limited
HTMEDIA.NS,HT Media Limited
HUBTOWN.NS,Hubtown Limited
HUDCO.NS,Housing & Urban Development Corporation Limited
HUHTAMAKI.NS,Huhtamaki India Limited
HYBRIDFIN.NS,Hybrid Financial Services Limited
HYUNDAI.NS,Hyundai Motor India Limited
IBULLSLTD.NS,Indiabulls Limited
ICDSLTD.NS,ICDS Limited
ICEMAKE.NS,Ice Make Refrigeration Limited
ICICIAMC.NS,ICICI Prudential Asset Management Company Limited
ICICIB22.NS,[ETF] ICICI Prudential Mutual Fund - BHARAT 22 ETF
ICICIBANK.NS,ICICI Bank Limited
ICICIGI.NS,ICICI Lombard General Insurance Company Limited
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited
ICIL.NS,Indo Count Industries Limited
ICRA.NS,ICRA Limited
IDBI.NS,IDBI Bank Limited
IDEA.NS,Vodafone Idea Limited
IDEAFORGE.NS,Ideaforge Technology Limited
IDFCFIRSTB.NS,IDFC First Bank Limited
IDFNIFTYET.NS,[ETF] Bandhan Nifty 50 ETF
IEX.NS,Indian Energy Exchange Limited
IFBAGRO.NS,IFB Agro Industries Limited
IFBIND.NS,IFB Industries Limited
IFCI.NS,IFCI Limited
IFGLEXPOR.NS,IFGL Refractories Limited
IGARASHI.NS,Igarashi Motors India Limited
IGCL.NS,Indogulf Cropsciences Limited
IGIL.NS,International Gemmological Institute (India) Limited
IGL.NS,Indraprastha Gas Limited
IGPL.NS,IG Petrochemicals Limited
IIFL.NS,IIFL Finance Limited
IIFLCAPS.NS,IIFL Capital Services Limited
IITL.NS,Industrial Investment Trust Limited
IKIO.NS,IKIO Technologies Limited
IKS.NS,Inventurus Knowledge Solutions Limited
IL&FSENGG.NS,IL&FS Engineering and Construction Company Limited
IL&FSTRANS.NS,IL&FS Transportation Networks Limited
IMAGICAA.NS,Imagicaaworld Entertainment Limited
IMFA.NS,Indian Metals & Ferro Alloys Limited
IMPAL.NS,India Motor Parts and Accessories Limited
IMPEXFERRO.NS,Impex Ferro Tech Limited
INCREDIBLE.NS,INCREDIBLE INDUSTRIES LIMITED
INDBANK.NS,Indbank Merchant Banking Services Limited
INDGN.NS,Indegene Limited
INDHOTEL.NS,The Indian Hotels Company Limited
INDIACEM.NS,The India Cements Limited
INDIAGLYCO.NS,India Glycols Limited
INDIAMART.NS,Indiamart Intermesh Limited
INDIANB.NS,Indian Bank
INDIANCARD.NS,Indian Card Clothing Company Limited
INDIANHUME.NS,Indian Hume Pipe Company Limited
INDIASHLTR.NS,India Shelter Finance Corporation Limited
INDIGO.NS,InterGlobe Aviation Limited
INDIGOPNTS.NS,Indigo Paints Limited
INDIQUBE.NS,Indiqube Spaces Limited
INDNIPPON.NS,India Nippon Electricals Limited
INDOAMIN.NS,Indo Amines Limited
INDOBORAX.NS,Indo Borax & Chemicals Limited
INDOCO.NS,Indoco Remedies Limited
INDOFARM.NS,Indo Farm Equipment Limited
INDORAMA.NS,Indo Rama Synthetics (India) Limited
INDOSTAR.NS,IndoStar Capital Finance Limited
INDOTECH.NS,Indo Tech Transformers Limited
INDOTHAI.NS,Indo Thai Securities Limited
INDOUS.NS,Indo Us Biotech Limited
INDOWIND.NS,Indowind Energy Limited
INDRAMEDCO.NS,Indraprastha Medical Corporation Limited
INDSWFTLAB.NS,Ind-Swift Laboratories Limited
INDTERRAIN.NS,Indian Terrain Fashions Limited
INDUSINDBK.NS,IndusInd Bank Limited
INDUSTOWER.NS,Indus Towers Limited
INFOBEAN.NS,InfoBeans Technologies Limited
INFOMEDIA.NS,Infomedia Press Limited
INFRABEES.NS,[ETF] Nippon India ETF Nifty Infrastructure BeES
INFRAIETF.NS,[ETF] ICICI Prudential Mutual Fund-ICICI Prudential Nifty Infrastructure ETF
INFY.NS,Infosys Limited
INGERRAND.NS,Ingersoll Rand (India) Limited
INNOVACAP.NS,Innova Captab Limited
INNOVANA.NS,Innovana Thinklabs Limited
INOXGREEN.NS,Inox Green Energy Services Limited
INOXINDIA.NS,INOX India Limited
INOXWIND.NS,Inox Wind Limited
INSECTICID.NS,Insecticides (India) Limited
INSPIRISYS.NS,Inspirisys Solutions Limited
INTELLECT.NS,Intellect Design Arena Limited
INTENTECH.NS,Intense Technologies Limited
INTERARCH.NS,Interarch Building Solutions Limited
INTERNET.NS,[ETF] Mirae Asset Mutual Fund - Mirae Asset Nifty India Internet ETF
